ID CIP2,CIP2,ID CIP4,CIP4,ID CIP6,CIP6,ID Year,Year,ID Nation,Nation,ID State,State,ID Degree,Degree,Completions,Slug CIP6,Geography,ID Geography,Slug Geography
"45","Social Sciences","4509","International Relations & National Security Studies","450901","International Relations & Affairs",2016,"2016","01000US","United States","04000US06","California",5,"Bachelors Degree",32,"international-relations-affairs","Butte County, CA","05000US06007","butte-county-ca"
"54","History","5401","History","540101","General History",2016,"2016","01000US","United States","04000US06","California",5,"Bachelors Degree",39,"general-history","Butte County, CA","05000US06007","butte-county-ca"
"52","Business","5202","Business Administration, Management, & Operations","520201","General Business Administration & Management",2016,"2016","01000US","United States","04000US06","California",5,"Bachelors Degree",613,"general-business-administration-management","Butte County, CA","05000US06007","butte-county-ca"
"01","Agriculture","0101","Agriculture Business & Management","010101","General Agriculture Management",2016,"2016","01000US","United States","04000US06","California",5,"Bachelors Degree",0,"general-agriculture-management","Butte County, CA","05000US06007","butte-county-ca"
"01","Agriculture","0101","Agriculture Business & Management","010102","Agricultural Business Operations",2016,"2016","01000US","United States","04000US06","California",5,"Bachelors Degree",73,"agricultural-business-operations","Butte County, CA","05000US06007","butte-county-ca"
"51","Health","5199","Other Health Professions & Related Clinical Sciences","519999","Other Health Professions & Related Clinical Sciences",2016,"2016","01000US","United States","04000US06","California",5,"Bachelors Degree",3,"other-health-professions-related-clinical-sciences-6","Butte County, CA","05000US06007","butte-county-ca"
"01","Agriculture","0109","Animal Sciences","010901","General Animal Sciences",2016,"2016","01000US","United States","04000US06","California",5,"Bachelors Degree",46,"general-animal-sciences","Butte County, CA","05000US06007","butte-county-ca"
"51","Health","5138","Registered Nursing, Nursing Administration, & Nursing Research","513801","Registered Nursing",2016,"2016","01000US","United States","04000US06","California",5,"Bachelors Degree",105,"registered-nursing","Butte County, CA","05000US06007","butte-county-ca"
"03","Natural Resources & Conservation","0301","Natural Resource Conservation & Research","030104","Environmental Science",2016,"2016","01000US","United States","04000US06","California",5,"Bachelors Degree",27,"environmental-science","Butte County, CA","05000US06007","butte-county-ca"
"51","Health","5131","Dietetics & Clinical Nutrition Services","513101","Dietetics",2016,"2016","01000US","United States","04000US06","California",5,"Bachelors Degree",67,"dietetics","Butte County, CA","05000US06007","butte-county-ca"
"05","Cultural & Gender Studies","0501","Area Studies","050103","Asian Studies",2016,"2016","01000US","United States","04000US06","California",5,"Bachelors Degree",13,"asian-studies","Butte County, CA","05000US06007","butte-county-ca"
"51","Health","5102","Communication Disorders Sciences & Services","510201","General Communication Sciences & Disorders",2016,"2016","01000US","United States","04000US06","California",5,"Bachelors Degree",73,"general-communication-sciences-disorders","Butte County, CA","05000US06007","butte-county-ca"
"05","Cultural & Gender Studies","0501","Area Studies","050107","Latin American Studies",2016,"2016","01000US","United States","04000US06","California",5,"Bachelors Degree",11,"latin-american-studies","Butte County, CA","05000US06007","butte-county-ca"
"51","Health","5100","General Allied Health & Health Sciences","510000","General Health Services",2016,"2016","01000US","United States","04000US06","California",5,"Bachelors Degree",124,"general-health-services","Butte County, CA","05000US06007","butte-county-ca"
"05","Cultural & Gender Studies","0502","Ethnic, Cultural, & Gender Group Studies","050299","Other Ethnic, Minority, Gender, & Group Studies",2016,"2016","01000US","United States","04000US06","California",5,"Bachelors Degree",8,"other-ethnic-minority-gender-group-studies","Butte County, CA","05000US06007","butte-county-ca"
"09","Communications","0901","Communication and Media Studies","090101","Speech Communication & Rhetoric",2016,"2016","01000US","United States","04000US06","California",5,"Bachelors Degree",120,"speech-communication-rhetoric","Butte County, CA","05000US06007","butte-county-ca"
"50","Visual & Performing Arts","5009","Music","500999","Other Music",2016,"2016","01000US","United States","04000US06","California",5,"Bachelors Degree",9,"other-music","Butte County, CA","05000US06007","butte-county-ca"
"09","Communications","0904","Journalism","090401","Journalism",2016,"2016","01000US","United States","04000US06","California",5,"Bachelors Degree",82,"journalism-6","Butte County, CA","05000US06007","butte-county-ca"
"50","Visual & Performing Arts","5009","Music","500901","General Music",2016,"2016","01000US","United States","04000US06","California",5,"Bachelors Degree",54,"general-music","Butte County, CA","05000US06007","butte-county-ca"
