Area Type ,Area Name ,Date,Year ,Month,Seasonally Adjusted (Y/N) ,Status (Preliminary / Final) ,Labor Force,Employment ,Unemployment ,Unemployment Rate 
County,Butte County,01/01/1990,1990,January,N,Final,76800,69400,7400,0.096
County,Butte County,01/01/1991,1991,January,N,Final,78900,70400,8500,0.108
County,Butte County,01/01/1992,1992,January,N,Final,79600,69900,9700,0.122
County,Butte County,01/01/1993,1993,January,N,Final,80600,69200,11400,0.142
County,Butte County,01/01/1994,1994,January,N,Final,79800,69500,10300,0.13
County,Butte County,01/01/1995,1995,January,N,Final,81200,71700,9500,0.117
County,Butte County,01/01/1996,1996,January,N,Final,79900,70900,9000,0.113
County,Butte County,01/01/1997,1997,January,N,Final,82800,74100,8700,0.104
County,Butte County,01/01/1998,1998,January,N,Final,83600,74900,8700,0.104
County,Butte County,01/01/1999,1999,January,N,Final,83700,76600,7100,0.085
County,Butte County,01/01/2000,2000,January,N,Final,90900,84600,6300,0.069
County,Butte County,01/01/2001,2001,January,N,Final,93500,86500,7000,0.075
County,Butte County,01/01/2002,2002,January,N,Final,95200,87200,8000,0.084
County,Butte County,01/01/2003,2003,January,N,Final,97900,89400,8600,0.087
County,Butte County,01/01/2004,2004,January,N,Final,96400,87800,8600,0.089
County,Butte County,01/01/2005,2005,January,N,Final,97400,89700,7800,0.08
County,Butte County,01/01/2006,2006,January,N,Final,98100,91100,7000,0.071
County,Butte County,01/01/2007,2007,January,N,Final,100600,93300,7300,0.072
County,Butte County,01/01/2008,2008,January,N,Final,101000,92500,8500,0.084
County,Butte County,01/01/2009,2009,January,N,Final,102900,90500,12500,0.121
County,Butte County,01/01/2010,2010,January,N,Final,101800,86700,15100,0.148
County,Butte County,01/01/2011,2011,January,N,Final,100800,85500,15300,0.152
County,Butte County,01/01/2012,2012,January,N,Final,101200,87300,13800,0.137
County,Butte County,01/01/2013,2013,January,N,Final,102300,89700,12600,0.123
County,Butte County,01/01/2014,2014,January,N,Final,101500,91300,10200,0.101
County,Butte County,01/01/2015,2015,January,N,Final,100900,92300,8600,0.085
County,Butte County,01/01/2016,2016,January,N,Final,100300,92700,7600,0.075
County,Butte County,01/01/2017,2017,January,N,Final,101500,94200,7300,0.072
County,Butte County,01/01/2018,2018,January,N,Final,100400,94600,5800,0.058
County,Butte County,01/01/2019,2019,January,N,Final,104000,97100,6900,0.066
County,Butte County,02/01/1990,1990,February,N,Final,78200,70900,7300,0.093
County,Butte County,02/01/1991,1991,February,N,Final,80900,72200,8700,0.107
County,Butte County,02/01/1992,1992,February,N,Final,81400,70900,10500,0.129
County,Butte County,02/01/1993,1993,February,N,Final,82400,70500,11900,0.145
County,Butte County,02/01/1994,1994,February,N,Final,83900,73400,10500,0.125
County,Butte County,02/01/1995,1995,February,N,Final,82800,73700,9100,0.11
County,Butte County,02/01/1996,1996,February,N,Final,82100,73400,8700,0.106
County,Butte County,02/01/1997,1997,February,N,Final,84100,75600,8500,0.101
County,Butte County,02/01/1998,1998,February,N,Final,85200,76500,8700,0.103
County,Butte County,02/01/1999,1999,February,N,Final,85400,78000,7300,0.086
County,Butte County,02/01/2000,2000,February,N,Final,92700,86100,6600,0.071
County,Butte County,02/01/2001,2001,February,N,Final,94500,87800,6700,0.071
County,Butte County,02/01/2002,2002,February,N,Final,97100,89500,7700,0.079
County,Butte County,02/01/2003,2003,February,N,Final,99100,90900,8200,0.083
County,Butte County,02/01/2004,2004,February,N,Final,97800,89700,8100,0.082
County,Butte County,02/01/2005,2005,February,N,Final,98400,90600,7700,0.079
County,Butte County,02/01/2006,2006,February,N,Final,99000,92200,6800,0.069
County,Butte County,02/01/2007,2007,February,N,Final,101700,94500,7100,0.07
County,Butte County,02/01/2008,2008,February,N,Final,102300,94100,8200,0.08
County,Butte County,02/01/2009,2009,February,N,Final,104300,91500,12800,0.123
County,Butte County,02/01/2010,2010,February,N,Final,102400,87300,15100,0.148
County,Butte County,02/01/2011,2011,February,N,Final,101000,86200,14700,0.146
County,Butte County,02/01/2012,2012,February,N,Final,101000,87400,13700,0.135
County,Butte County,02/01/2013,2013,February,N,Final,101900,90200,11700,0.115
County,Butte County,02/01/2014,2014,February,N,Final,101700,91500,10200,0.1
County,Butte County,02/01/2015,2015,February,N,Final,101400,93200,8100,0.08
County,Butte County,02/01/2016,2016,February,N,Final,101300,93800,7400,0.073
County,Butte County,02/01/2017,2017,February,N,Final,102100,94900,7200,0.07
County,Butte County,02/01/2018,2018,February,N,Final,101000,95200,5900,0.058
County,Butte County,02/01/2019,2019,February,N,Final,104500,98200,6300,0.061
County,Butte County,03/01/1990,1990,March,N,Final,78500,71300,7300,0.092
County,Butte County,03/01/1991,1991,March,N,Final,79400,70600,8700,0.11
County,Butte County,03/01/1992,1992,March,N,Final,81600,71500,10100,0.124
County,Butte County,03/01/1993,1993,March,N,Final,82000,70700,11400,0.138
County,Butte County,03/01/1994,1994,March,N,Final,82200,72200,10100,0.123
County,Butte County,03/01/1995,1995,March,N,Final,82700,73500,9200,0.112
County,Butte County,03/01/1996,1996,March,N,Final,81800,73200,8700,0.106
County,Butte County,03/01/1997,1997,March,N,Final,84700,76300,8400,0.099
County,Butte County,03/01/1998,1998,March,N,Final,85200,76500,8600,0.101
County,Butte County,03/01/1999,1999,March,N,Final,85500,78400,7100,0.083
County,Butte County,03/01/2000,2000,March,N,Final,92800,86000,6700,0.072
County,Butte County,03/01/2001,2001,March,N,Final,95400,88400,7000,0.074
County,Butte County,03/01/2002,2002,March,N,Final,97900,90200,7700,0.078
County,Butte County,03/01/2003,2003,March,N,Final,98800,90700,8100,0.082
County,Butte County,03/01/2004,2004,March,N,Final,97300,88900,8400,0.086
County,Butte County,03/01/2005,2005,March,N,Final,97800,90400,7400,0.076
County,Butte County,03/01/2006,2006,March,N,Final,98400,91500,7000,0.071
County,Butte County,03/01/2007,2007,March,N,Final,101700,94600,7200,0.07
County,Butte County,03/01/2008,2008,March,N,Final,102100,93600,8500,0.084
